season,name,team,era,pa,win_shares,average,power,walks,speed,pct_appearances_1,pct_appearances_2,pct_appearances_3,pct_appearances_4,pct_appearances_5,pct_appearances_6,pct_appearances_7,pct_appearances_8,pct_appearances_9
1982,Jack Clark,SFG,1970-2009,659,23,2.3,4.5,4.6,1.8,0.0,0.0,41.6,40.2,13.1,4.9,0.2,0.0,0.2
1983,Jack Clark,SFG,1970-2009,574,19,2.1,3.8,4.2,1.2,0.0,0.0,41.8,58.2,0.0,0.0,0.0,0.0,0.0
1985,Jack Clark,STL,1970-2009,532,16,3.5,4.7,4.9,1.3,0.2,0.0,0.0,99.8,0.0,0.0,0.0,0.0,0.0
1987,Jack Clark,STL,1970-2009,559,27,2.9,5.0,5.0,0.4,0.2,0.2,0.0,99.3,0.0,0.0,0.0,0.2,0.2
1988,Jack Clark,NYY,1970-2009,616,18,0.5,3.9,5.0,0.5,0.0,0.2,1.5,76.5,20.0,0.6,0.0,0.6,0.6
1989,Jack Clark,SDP,1970-2009,594,23,1.1,4.5,5.0,1.1,0.0,0.0,5.7,90.7,3.4,0.0,0.0,0.0,0.2
1991,Jack Clark,BOS,1970-2009,587,14,0.6,4.3,4.8,0.2,0.0,0.0,0.2,91.5,0.9,2.2,4.4,0.3,0.5
1987,Will Clark,SFG,1970-2009,588,21,4.2,4.7,2.0,2.3,15.5,12.6,3.9,21.9,21.3,15.1,8.3,0.0,1.4
1988,Will Clark,SFG,1970-2009,689,28,3.6,4.8,4.8,3.2,0.0,0.0,99.1,0.1,0.0,0.0,0.1,0.1,0.4
1989,Will Clark,SFG,1970-2009,675,35,5.0,4.4,3.5,3.6,0.0,0.0,99.7,0.0,0.0,0.1,0.0,0.1,0.0
1990,Will Clark,SFG,1970-2009,678,21,3.7,3.0,2.6,2.7,0.0,0.0,99.7,0.0,0.0,0.0,0.0,0.3,0.0
1991,Will Clark,SFG,1970-2009,622,24,4.2,4.8,2.2,2.7,0.0,0.0,97.3,1.8,0.0,0.2,0.0,0.8,0.0
1992,Will Clark,SFG,1970-2009,601,20,4.1,3.8,4.1,1.9,0.0,0.0,99.5,0.0,0.2,0.0,0.0,0.2,0.2
1993,Will Clark,SFG,1970-2009,567,14,2.8,2.3,3.8,1.3,0.0,0.0,98.4,0.0,1.1,0.0,0.0,0.0,0.5
1994,Will Clark,TEX,1970-2009,469,16,4.7,2.7,4.6,2.4,0.0,0.2,14.3,77.0,8.3,0.0,0.0,0.0,0.2
1995,Will Clark,TEX,1970-2009,537,16,3.7,2.8,3.9,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Will Clark,TEX,1970-2009,512,12,2.0,1.8,3.7,1.3,0.0,0.0,67.0,0.0,31.4,0.6,1.0,0.0,0.0
1998,Will Clark,TEX,1970-2009,636,16,3.6,3.3,3.6,0.7,0.0,0.0,4.6,0.0,93.9,1.3,0.3,0.0,0.0
2000,Will Clark,- - -,1970-2009,507,18,4.2,3.6,4.0,2.3,0.0,0.0,9.9,34.3,6.1,14.2,33.3,1.6,0.6
2013,Brandon Crawford,SFG,2010-present,550,14,0.9,0.8,2.2,1.3,0.0,16.2,1.1,0.0,1.5,4.2,24.4,49.3,3.5
2014,Brandon Crawford,SFG,2010-present,564,19,1.0,2.3,3.9,3.4,0.2,2.5,0.0,0.2,1.4,8.7,45.2,37.6,4.3
2015,Brandon Crawford,SFG,2010-present,561,22,1.2,3.9,2.2,2.8,0.2,0.0,0.0,2.1,16.9,43.0,23.2,13.0,1.6
2016,Brandon Crawford,SFG,2010-present,623,22,2.7,1.6,3.0,4.4,0.0,0.0,1.9,11.7,44.9,18.6,21.5,1.0,0.3
2017,Brandon Crawford,SFG,2010-present,570,13,1.1,1.1,1.5,0.9,0.0,1.1,4.0,10.7,57.5,21.9,3.2,0.7,0.9
2018,Brandon Crawford,SFG,2010-present,594,15,1.8,1.3,2.0,1.4,0.0,1.9,2.4,27.6,21.7,32.7,5.2,8.2,0.3
2019,Brandon Crawford,SFG,2010-present,560,9,0.2,0.4,2.9,1.2,1.4,0.4,0.4,0.2,26.3,28.8,30.7,10.2,1.8
2020,Brandon Crawford,SFG,2010-present,193,6,2.1,3.1,1.5,1.3,0.5,0.0,0.0,0.0,7.3,11.9,53.9,22.3,4.1
2021,Brandon Crawford,SFG,2010-present,549,27,4.4,3.4,3.1,3.6,0.0,0.4,3.5,17.3,39.5,27.1,6.9,4.9,0.4
2009,Nelson Cruz,TEX,1970-2009,515,15,1.0,4.6,2.9,3.6,0.0,0.6,0.2,24.1,23.3,35.3,15.9,0.0,0.6
2011,Nelson Cruz,TEX,2010-present,513,11,2.2,4.5,1.3,2.3,0.0,0.2,0.0,0.0,44.1,46.4,6.8,2.5,0.0
2012,Nelson Cruz,TEX,2010-present,642,12,1.8,3.4,1.8,2.0,0.0,0.0,0.0,4.7,45.8,40.5,8.1,0.5,0.5
2014,Nelson Cruz,BAL,2010-present,678,22,2.7,4.8,2.8,1.4,0.0,8.8,12.1,54.3,22.3,2.5,0.0,0.0,0.0
2015,Nelson Cruz,SEA,2010-present,655,23,4.4,4.7,3.5,1.1,0.0,0.0,50.7,49.3,0.0,0.0,0.0,0.0,0.0
2016,Nelson Cruz,SEA,2010-present,667,23,3.5,4.8,3.4,1.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2017,Nelson Cruz,SEA,2010-present,645,19,3.7,4.5,3.7,0.3,0.0,0.0,9.5,89.9,0.0,0.0,0.2,0.0,0.5
2018,Nelson Cruz,SEA,2010-present,591,18,2.3,4.5,2.9,0.4,0.0,0.0,8.0,91.4,0.0,0.0,0.0,0.2,0.5
2019,Nelson Cruz,MIN,2010-present,521,20,4.7,4.9,3.6,0.1,0.0,0.0,98.8,0.0,0.0,0.4,0.0,0.2,0.6
2020,Nelson Cruz,MIN,2010-present,214,9,4.5,4.6,3.8,0.2,0.0,0.0,74.8,24.8,0.0,0.0,0.0,0.5,0.0
2021,Nelson Cruz,- - -,2010-present,584,14,2.7,3.9,2.5,1.6,0.0,12.2,59.9,26.7,0.0,0.0,0.2,0.0,1.0
2022,Nelson Cruz,WSN,2010-present,507,6,0.8,0.3,3.1,1.7,0.0,0.0,26.0,63.5,8.7,1.8,0.0,0.0,0.0
1996,Johnny Damon,KCR,1970-2009,566,7,1.4,0.5,0.4,4.3,20.1,8.0,8.5,3.5,4.1,18.7,22.3,13.3,1.6
1997,Johnny Damon,KCR,1970-2009,524,11,2.2,0.8,1.8,4.4,12.2,22.3,1.3,0.0,9.5,13.9,16.4,5.2,19.1
1998,Johnny Damon,KCR,1970-2009,710,15,1.8,2.0,2.2,4.7,95.8,0.0,2.0,0.0,0.0,0.1,0.3,0.0,1.8
1999,Johnny Damon,KCR,1970-2009,660,19,3.9,2.2,3.0,4.7,41.7,0.0,52.7,2.4,0.0,3.2,0.0,0.0,0.0
2000,Johnny Damon,KCR,1970-2009,741,24,4.4,2.3,1.9,4.9,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2001,Johnny Damon,OAK,1970-2009,719,15,0.9,0.8,2.7,4.2,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2002,Johnny Damon,BOS,1970-2009,702,21,3.3,1.9,2.8,5.0,73.6,24.8,0.0,0.0,0.0,0.1,0.1,0.0,1.3
2003,Johnny Damon,BOS,1970-2009,690,16,2.1,1.3,3.6,4.6,93.3,0.0,0.0,0.0,0.0,0.0,1.4,3.3,1.9
2004,Johnny Damon,BOS,1970-2009,702,22,4.1,2.2,3.7,4.4,98.0,0.0,1.1,0.0,0.0,0.0,0.3,0.4,0.1
2005,Johnny Damon,BOS,1970-2009,688,19,4.7,1.1,2.4,4.7,99.4,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0
2006,Johnny Damon,NYY,1970-2009,671,19,2.5,3.2,3.7,4.4,99.4,0.0,0.3,0.0,0.0,0.0,0.1,0.1,0.0
2007,Johnny Damon,NYY,1970-2009,605,15,1.6,1.0,3.7,4.2,96.5,0.3,0.3,0.0,0.3,0.3,0.3,0.2,1.7
2008,Johnny Damon,NYY,1970-2009,623,20,4.1,2.0,3.3,4.4,97.3,1.4,0.0,0.2,0.3,0.0,0.3,0.0,0.5
2009,Johnny Damon,NYY,1970-2009,626,20,2.4,3.4,3.8,4.1,2.7,94.4,1.3,0.0,0.0,0.0,0.2,0.2,1.3
2010,Johnny Damon,DET,2010-present,613,15,2.6,1.4,4.1,4.1,3.8,63.8,28.2,0.2,1.5,0.7,1.0,0.5,0.5
2011,Johnny Damon,TBR,2010-present,647,13,1.9,2.0,2.1,4.0,25.7,47.3,11.7,1.9,12.5,0.3,0.2,0.2,0.3
2014,Khris Davis,MIL,2010-present,549,13,0.8,4.5,1.1,2.8,0.0,0.4,0.4,1.6,29.7,57.6,8.2,0.7,1.5
2016,Khris Davis,OAK,2010-present,610,16,0.9,4.9,1.6,1.1,0.0,1.5,1.0,60.0,26.7,3.6,6.9,0.2,0.2
2017,Khris Davis,OAK,2010-present,652,18,1.1,4.8,3.9,1.9,0.0,0.0,6.4,93.4,0.0,0.0,0.0,0.2,0.0
2018,Khris Davis,OAK,2010-present,654,18,1.4,5.0,2.8,0.4,0.0,0.0,2.1,97.7,0.0,0.0,0.0,0.0,0.2
2019,Khris Davis,OAK,2010-present,533,6,0.1,1.2,2.6,0.2,0.0,0.0,0.0,60.0,9.8,23.3,6.2,0.2,0.6
1977,Andre Dawson,MON,1970-2009,566,18,2.5,3.7,0.9,4.2,0.0,0.0,40.8,0.7,6.7,3.4,31.6,15.9,0.9
1978,Andre Dawson,MON,1970-2009,660,20,1.0,4.1,0.4,4.7,0.0,43.8,33.6,1.2,0.2,8.2,12.1,0.0,0.9
1979,Andre Dawson,MON,1970-2009,684,21,2.4,4.1,0.4,4.9,34.5,0.0,63.9,0.0,0.0,1.6,0.0,0.0,0.0
1980,Andre Dawson,MON,1970-2009,638,29,4.4,4.1,1.6,4.5,0.0,0.0,74.1,25.4,0.0,0.0,0.0,0.0,0.5
1981,Andre Dawson,MON,1970-2009,441,26,3.9,5.0,2.1,4.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Andre Dawson,MON,1970-2009,659,29,4.3,4.3,0.6,4.8,0.0,19.8,78.3,0.0,1.8,0.0,0.0,0.0,0.0
1983,Andre Dawson,MON,1970-2009,698,26,4.0,5.0,0.6,4.3,0.0,0.0,98.0,1.7,0.0,0.0,0.0,0.0,0.3
1984,Andre Dawson,MON,1970-2009,583,15,0.5,3.3,1.6,4.0,0.0,0.0,60.7,30.5,6.7,0.2,1.4,0.2,0.3
1985,Andre Dawson,MON,1970-2009,570,15,1.4,4.2,0.5,3.0,0.0,0.0,98.1,0.0,0.0,0.0,0.0,0.4,1.6
1986,Andre Dawson,MON,1970-2009,546,15,3.5,4.2,1.1,3.0,0.0,0.4,52.0,46.5,0.4,0.0,0.4,0.0,0.4
1987,Andre Dawson,CHC,1970-2009,662,21,3.0,4.8,0.3,2.2,0.0,1.5,64.4,34.1,0.0,0.0,0.0,0.0,0.0
1988,Andre Dawson,CHC,1970-2009,640,22,4.6,4.5,1.0,3.5,0.0,0.0,58.1,40.6,0.2,0.2,0.0,0.6,0.3
1990,Andre Dawson,CHC,1970-2009,581,17,4.7,4.4,1.5,3.6,0.3,0.0,0.0,94.7,4.5,0.2,0.0,0.0,0.3
1991,Andre Dawson,CHC,1970-2009,596,17,2.6,4.4,0.1,1.5,0.2,0.0,1.0,56.4,40.8,0.2,0.0,0.7,0.8
1992,Andre Dawson,CHC,1970-2009,582,16,2.9,3.9,0.5,2.0,0.0,0.0,0.0,82.3,16.7,0.2,0.2,0.2,0.5
1996,Carlos Delgado,TOR,1970-2009,563,12,1.4,3.3,2.7,0.5,0.0,0.4,76.2,0.4,1.2,21.3,0.0,0.2,0.4
1997,Carlos Delgado,TOR,1970-2009,595,13,1.2,4.5,3.0,1.2,0.0,0.0,4.0,28.7,48.1,18.8,0.3,0.0,0.0
1998,Carlos Delgado,TOR,1970-2009,620,24,2.9,4.7,3.8,1.1,0.0,0.0,0.8,97.4,1.8,0.0,0.0,0.0,0.0
1999,Carlos Delgado,TOR,1970-2009,681,19,1.1,4.8,3.9,0.4,0.0,0.0,2.1,87.2,10.7,0.0,0.0,0.0,0.0
2000,Carlos Delgado,TOR,1970-2009,711,31,4.8,4.9,4.9,0.1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2001,Carlos Delgado,TOR,1970-2009,704,21,2.7,4.4,4.8,1.0,0.0,0.0,8.7,91.2,0.1,0.0,0.0,0.0,0.0
2002,Carlos Delgado,TOR,1970-2009,628,22,2.7,4.6,4.9,1.1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2003,Carlos Delgado,TOR,1970-2009,705,27,4.0,4.8,4.8,0.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2004,Carlos Delgado,TOR,1970-2009,551,14,1.4,4.6,4.3,0.1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2005,Carlos Delgado,FLA,1970-2009,616,18,4.1,4.7,3.9,0.7,0.0,0.3,44.3,55.0,0.0,0.0,0.0,0.0,0.3
2006,Carlos Delgado,NYM,1970-2009,618,18,1.1,4.6,4.0,0.5,0.0,0.0,12.9,86.7,0.2,0.0,0.0,0.2,0.0
2007,Carlos Delgado,NYM,1970-2009,607,9,0.9,3.0,2.3,1.6,0.0,0.0,0.0,51.9,35.3,12.9,0.0,0.0,0.0
2008,Carlos Delgado,NYM,1970-2009,686,15,1.8,4.2,3.1,0.4,0.0,0.0,1.2,26.5,46.9,20.4,4.8,0.0,0.1
1974,Bucky Dent,CHW,1970-2009,552,13,2.5,0.6,0.8,1.4,10.0,8.0,0.0,0.0,0.0,0.0,0.0,5.1,77.0
1975,Bucky Dent,CHW,1970-2009,662,13,2.2,0.9,0.6,1.0,0.6,41.4,2.6,0.0,0.0,2.6,7.7,45.2,0.0
1976,Bucky Dent,CHW,1970-2009,627,9,0.9,0.7,1.8,0.8,12.8,0.0,9.7,0.0,1.6,11.0,15.0,32.9,17.1
1977,Bucky Dent,NYY,1970-2009,540,15,0.4,1.2,1.6,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,2.2,96.9
1980,Bucky Dent,NYY,1970-2009,553,20,0.9,0.9,2.7,0.5,1.6,5.2,0.0,0.0,0.0,3.1,15.2,28.6,46.3
2010,Ian Desmond,WSN,2010-present,574,11,2.3,1.2,0.4,4.0,0.9,35.0,8.4,0.0,1.4,8.5,16.4,25.8,3.7
2011,Ian Desmond,WSN,2010-present,639,13,1.4,0.6,0.7,4.0,36.8,29.0,0.0,0.0,1.6,2.0,11.9,13.3,5.5
2012,Ian Desmond,WSN,2010-present,547,20,3.6,4.1,0.7,3.3,32.9,1.1,0.0,0.5,16.5,49.0,0.0,0.0,0.0
2013,Ian Desmond,WSN,2010-present,655,24,3.0,3.2,1.5,4.0,0.0,11.1,0.0,4.1,46.9,37.9,0.0,0.0,0.0
2014,Ian Desmond,WSN,2010-present,648,21,1.4,3.4,2.1,3.9,0.0,0.0,0.0,3.7,56.5,24.2,15.6,0.0,0.0
2015,Ian Desmond,WSN,2010-present,641,14,0.3,2.1,2.2,2.9,0.0,21.1,0.0,0.0,10.9,44.0,21.4,0.6,2.0
2016,Ian Desmond,TEX,2010-present,677,20,3.4,1.7,1.1,4.4,1.9,71.5,6.1,1.3,13.0,6.2,0.0,0.0,0.0
2018,Ian Desmond,COL,2010-present,619,9,0.5,2.9,2.1,4.8,0.8,8.4,0.5,2.6,20.5,31.3,34.4,0.5,1.0
1992,Gary Disarcina,CAL,1970-2009,553,12,0.8,0.1,0.0,1.6,0.0,0.0,0.0,0.0,0.4,1.1,17.2,11.9,69.4
1994,Gary Disarcina,CAL,1970-2009,421,9,1.1,0.2,0.2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,99.5
1996,Gary Disarcina,CAL,1970-2009,576,10,0.6,0.4,0.1,2.4,0.0,18.4,0.0,0.0,0.0,0.0,17.2,4.0,60.4
1997,Gary Disarcina,ANA,1970-2009,583,8,0.4,0.2,0.0,1.7,0.0,0.9,0.0,0.0,0.0,0.0,0.0,5.3,93.8
1998,Gary Disarcina,ANA,1970-2009,595,18,2.7,0.5,0.1,2.9,0.0,1.5,0.0,0.2,0.0,0.0,0.0,5.4,92.9
2014,Adam Eaton,CHW,2010-present,538,20,4.5,0.8,2.8,4.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Adam Eaton,CHW,2010-present,689,22,3.7,1.7,3.0,4.6,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
2016,Adam Eaton,CHW,2010-present,706,26,3.3,1.1,3.3,4.2,77.3,19.1,3.4,0.0,0.1,0.0,0.0,0.0,0.0
2019,Adam Eaton,WSN,2010-present,656,14,2.6,0.8,3.2,4.7,29.0,69.4,0.6,0.0,0.0,0.0,0.0,0.3,0.8
2008,Jacoby Ellsbury,BOS,1970-2009,609,18,2.4,0.8,1.2,5.0,89.3,0.0,0.0,0.3,0.0,0.8,1.0,3.0,5.6
2009,Jacoby Ellsbury,BOS,1970-2009,693,16,3.8,0.8,1.2,5.0,79.8,3.5,0.0,0.0,0.1,4.6,8.5,3.2,0.3
2011,Jacoby Ellsbury,BOS,2010-present,732,32,4.8,4.0,1.6,4.2,94.1,0.0,0.0,0.0,0.1,0.1,0.0,1.2,4.4
2013,Jacoby Ellsbury,BOS,2010-present,636,22,4.1,1.1,1.8,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Jacoby Ellsbury,NYY,2010-present,635,20,2.7,2.6,2.5,4.7,34.5,0.6,64.1,0.0,0.0,0.0,0.3,0.2,0.3
2016,Jacoby Ellsbury,NYY,2010-present,626,16,1.9,0.4,3.1,4.0,57.8,41.2,0.0,0.0,0.2,0.0,0.0,0.6,0.2
2007,Edwin Encarnación,CIN,1970-2009,560,11,2.9,1.6,1.2,2.5,0.5,0.0,0.0,8.9,26.8,29.8,24.3,9.3,0.4
2008,Edwin Encarnación,CIN,1970-2009,582,12,0.9,3.4,3.0,0.9,0.0,0.0,0.7,11.7,20.6,55.8,10.8,0.0,0.3
2011,Edwin Encarnación,TOR,2010-present,530,10,2.6,2.7,2.3,2.3,0.0,0.2,0.9,13.2,48.7,16.4,10.9,7.9,1.7
2012,Edwin Encarnación,TOR,2010-present,644,23,3.1,4.9,4.8,2.0,0.0,0.0,35.1,50.8,12.7,1.4,0.0,0.0,0.0
2013,Edwin Encarnación,TOR,2010-present,621,19,2.5,4.9,4.7,2.5,0.0,0.0,55.4,44.6,0.0,0.0,0.0,0.0,0.0
2014,Edwin Encarnación,TOR,2010-present,542,18,2.4,5.0,4.3,1.7,0.0,0.0,17.5,64.2,17.3,0.6,0.0,0.4,0.0
2015,Edwin Encarnación,TOR,2010-present,624,22,3.2,4.8,4.5,0.9,0.2,0.0,6.9,92.1,0.6,0.0,0.0,0.2,0.0
2016,Edwin Encarnación,TOR,2010-present,702,20,1.9,4.7,4.5,0.6,0.0,0.0,64.7,35.3,0.0,0.0,0.0,0.0,0.0
2017,Edwin Encarnación,CLE,2010-present,669,16,1.9,4.2,4.9,1.2,0.0,0.0,0.0,81.5,18.2,0.0,0.0,0.0,0.3
2018,Edwin Encarnación,CLE,2010-present,579,12,1.4,3.9,4.1,1.5,0.0,0.0,0.0,81.5,18.5,0.0,0.0,0.0,0.0
2006,Prince Fielder,MIL,1970-2009,648,9,1.4,3.4,2.6,2.1,0.0,0.0,31.2,8.6,51.1,0.0,8.8,0.0,0.3
2007,Prince Fielder,MIL,1970-2009,681,21,2.8,4.9,4.2,1.3,0.0,0.3,34.5,64.8,0.0,0.0,0.0,0.0,0.4
2008,Prince Fielder,MIL,1970-2009,694,14,2.1,3.9,3.7,1.0,0.0,0.0,6.8,93.2,0.0,0.0,0.0,0.0,0.0
2009,Prince Fielder,MIL,1970-2009,719,29,3.8,5.0,4.5,0.9,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2010,Prince Fielder,MIL,2010-present,714,15,1.8,3.7,5.0,0.2,0.0,0.0,23.5,76.5,0.0,0.0,0.0,0.0,0.0
2011,Prince Fielder,MIL,2010-present,692,25,4.0,4.9,4.8,0.4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2012,Prince Fielder,DET,2010-present,690,23,4.7,3.8,4.5,0.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2013,Prince Fielder,DET,2010-present,712,15,3.1,3.1,3.8,0.4,0.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0
2015,Prince Fielder,TEX,2010-present,693,16,4.5,2.1,3.8,0.1,0.0,0.0,81.7,18.2,0.1,0.0,0.0,0.0,0.0
1972,Carlton Fisk,BOS,1970-2009,514,30,4.3,5.0,3.5,4.2,0.0,0.0,1.0,0.0,10.9,51.4,0.0,36.8,0.0
1973,Carlton Fisk,BOS,1970-2009,558,18,0.9,4.3,1.3,2.0,0.0,0.0,24.9,3.0,12.5,28.7,30.6,0.0,0.2
1976,Carlton Fisk,BOS,1970-2009,557,19,1.5,4.0,3.7,3.4,0.0,3.9,10.4,19.6,30.2,28.2,7.4,0.4,0.0
1977,Carlton Fisk,BOS,1970-2009,632,31,4.7,3.9,4.2,2.1,0.0,0.0,1.9,0.6,61.7,29.0,2.5,4.0,0.3
1978,Carlton Fisk,BOS,1970-2009,658,27,3.3,4.1,3.7,3.1,0.0,0.0,0.0,12.0,86.5,0.3,0.0,0.3,0.9
1980,Carlton Fisk,BOS,1970-2009,530,18,3.0,3.8,1.6,2.7,0.8,0.0,23.0,0.0,32.8,23.4,16.8,2.5,0.8
1981,Carlton Fisk,CHW,1970-2009,394,12,2.1,1.6,3.1,0.9,0.0,0.0,76.6,0.0,15.2,5.1,2.3,0.5,0.3
1982,Carlton Fisk,CHW,1970-2009,536,17,1.8,1.9,2.5,3.8,0.0,0.0,0.0,0.0,17.2,45.1,37.3,0.4,0.0
1983,Carlton Fisk,CHW,1970-2009,545,22,3.7,4.5,2.7,3.1,0.0,78.7,0.2,0.0,0.0,7.2,13.2,0.6,0.2
1985,Carlton Fisk,CHW,1970-2009,620,20,0.5,4.7,2.4,2.9,0.0,0.5,0.0,22.6,69.5,7.3,0.2,0.0,0.0
1987,Carlton Fisk,CHW,1970-2009,508,15,0.8,3.1,1.7,0.9,0.0,2.0,0.0,16.9,33.1,41.1,3.5,1.8,1.6
1990,Carlton Fisk,CHW,1970-2009,521,24,3.4,3.5,3.7,1.3,0.0,0.0,16.7,8.1,71.2,3.1,0.2,0.8,0.0
1984,Scott Fletcher,CHW,1970-2009,521,16,0.6,0.2,3.0,2.7,24.8,16.5,0.0,0.0,0.0,0.0,11.5,37.2,10.0
1986,Scott Fletcher,TEX,1970-2009,594,22,4.1,0.8,1.9,3.5,19.5,61.4,0.0,0.0,0.0,0.3,0.2,0.2,18.4
1987,Scott Fletcher,TEX,1970-2009,668,17,3.3,0.3,2.6,2.3,2.5,95.1,0.0,0.0,0.0,0.1,0.0,0.4,1.8
1988,Scott Fletcher,TEX,1970-2009,609,18,2.9,0.0,3.5,2.2,0.0,92.8,4.1,0.0,0.0,0.0,0.0,1.5,1.6
1989,Scott Fletcher,- - -,1970-2009,629,12,1.4,0.4,3.3,1.6,1.3,97.8,0.0,0.0,0.0,0.0,0.0,0.2,0.8
1990,Scott Fletcher,CHW,1970-2009,573,14,0.7,0.4,2.0,1.0,0.0,14.3,0.0,0.0,0.2,2.3,32.1,51.1,0.0
1993,Scott Fletcher,BOS,1970-2009,531,18,3.2,1.3,1.1,4.6,98.5,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.2
1971,George Foster,- - -,1970-2009,514,13,0.4,2.9,0.9,3.0,0.2,22.2,0.6,1.0,16.0,45.7,10.3,3.1,1.0
1975,George Foster,CIN,1970-2009,511,23,3.8,4.5,2.0,2.5,0.2,0.2,3.5,3.5,17.8,45.6,9.2,18.8,1.2
1976,George Foster,CIN,1970-2009,627,26,4.1,4.7,2.3,4.2,0.0,0.0,8.0,47.4,26.8,16.1,1.1,0.0,0.6
1977,George Foster,CIN,1970-2009,689,35,4.7,5.0,2.3,1.7,0.0,0.0,0.0,64.9,28.2,7.0,0.0,0.0,0.0
1978,George Foster,CIN,1970-2009,687,28,3.1,4.9,2.9,2.3,0.1,0.0,3.9,95.9,0.0,0.0,0.0,0.0,0.0
1979,George Foster,CIN,1970-2009,505,23,4.1,4.9,3.8,0.7,0.0,0.0,0.0,99.0,0.2,0.0,0.2,0.0,0.6
1980,George Foster,CIN,1970-2009,608,22,1.9,4.4,4.2,1.1,0.0,0.0,0.0,96.7,0.0,2.8,0.2,0.2,0.2
1981,George Foster,CIN,1970-2009,472,20,3.6,4.8,3.6,2.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1982,George Foster,NYM,1970-2009,608,8,0.6,2.0,2.4,1.0,0.0,0.0,64.1,9.9,23.8,0.0,0.0,0.5,1.6
1983,George Foster,NYM,1970-2009,647,12,0.6,3.9,0.7,0.7,0.0,0.0,2.9,94.3,2.2,0.0,0.2,0.0,0.5
1984,George Foster,NYM,1970-2009,595,18,1.9,3.7,0.5,0.8,0.0,0.0,0.0,61.2,37.5,0.5,0.2,0.2,0.5
1985,George Foster,NYM,1970-2009,504,12,2.0,4.3,2.7,0.3,0.0,0.0,0.0,1.6,38.5,58.5,0.0,0.2,1.2
2009,Dexter Fowler,COL,1970-2009,518,11,1.5,1.7,4.2,4.9,84.9,11.8,0.0,0.0,0.2,0.0,0.2,0.8,2.1
2010,Dexter Fowler,COL,2010-present,505,11,1.6,1.9,3.8,4.4,42.0,53.1,0.2,0.0,0.0,0.0,0.0,0.6,4.2
2011,Dexter Fowler,COL,2010-present,563,13,2.3,2.5,4.3,4.5,61.6,27.9,3.9,0.0,0.2,0.0,0.9,5.0,0.5
2012,Dexter Fowler,COL,2010-present,530,15,4.0,2.8,4.7,4.0,55.8,14.9,14.5,0.0,0.2,0.0,0.2,10.0,4.3
2014,Dexter Fowler,HOU,2010-present,505,12,3.2,1.6,4.8,3.5,29.3,20.2,30.1,20.0,0.0,0.0,0.0,0.2,0.2
2015,Dexter Fowler,CHC,2010-present,690,18,0.9,2.8,4.5,4.6,97.4,0.7,0.1,0.6,0.0,0.1,0.6,0.4,0.0
2016,Dexter Fowler,CHC,2010-present,551,19,2.8,2.1,4.7,4.8,99.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.7
2019,Dexter Fowler,STL,2010-present,574,11,0.5,1.3,4.4,1.8,40.6,9.1,0.2,0.0,9.2,15.2,23.5,0.0,2.3
2011,Freddie Freeman,ATL,2010-present,635,13,3.2,2.5,2.2,0.4,0.0,0.6,15.6,13.9,33.5,21.6,8.0,5.8,0.9
2012,Freddie Freeman,ATL,2010-present,620,16,1.5,3.4,3.8,2.1,0.0,0.0,28.4,14.2,50.3,2.7,4.0,0.3,0.0
2013,Freddie Freeman,ATL,2010-present,629,25,4.8,3.4,3.9,1.4,0.0,0.2,43.1,56.1,0.6,0.0,0.0,0.0,0.0
2014,Freddie Freeman,ATL,2010-present,708,21,3.9,3.3,4.6,2.1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,Freddie Freeman,ATL,2010-present,693,28,4.2,4.8,4.4,3.5,0.0,0.0,97.5,1.9,0.0,0.6,0.0,0.0,0.0
2017,Freddie Freeman,ATL,2010-present,514,21,4.4,4.8,4.2,2.8,0.0,0.0,99.6,0.0,0.4,0.0,0.0,0.0,0.0
